interview__id,responsible,unit_risk_score
1290c79b3a3d4485a0262abed06644ea,TZ_LabanB2,59.65
918381b795f64498a00cd13198d65e27,TZ_MboyaM2,60.02
dd23ca81a65c404b8a62b442cc49b972,TZ_PeterN2,60.3
a209da83915049b0adfccf703d34c1af,TZ_JenivaM2,60.33
220275c1153b4436a159b78ddad22573,TZ_JenivaM2,60.38
0dd108de9aea4fa1b441e1fc8b18db09,TZ_MaryO2,61.68
611b863f8f9340aeb0d2ee7e538426ef,TZ_LabanB2,62.4
4dd624702a2942aa99ee217af9528c01,TZ_HappyM2,62.69
c2b29416b9e64c97a3c001d33d9bd8fe,TZ_MboyaM2,63.86
c21136dc649b4d0592548ba58a3c031a,TZ_LabanB2,66.19
713323044f6248e1936d5675cd162285,TZ_JuliethM2,67.4
f70dab64ab994a539fd032a808f37dc1,TZ_JuliethM2,68.32
8267582259b44d50aa97ce4db776443c,TZ_JenivaM2,70.05
e7081171c5ab4a3f8b59001cab6d1096,TZ_LabanB2,70.12
1b946757efe64801ae0d642c3be41907,TZ_JenivaM2,70.51
4fde38ca541e43faa5c1f6713f08a7c6,TZ_LabanB2,73.88
289c4cb573cc4f419b7ad2d75f5bfaae,TZ_MboyaM2,74.25
4d6f16f455904c65a2cbf3b8a076ee07,TZ_MaryO2,74.51
f975c5ebd7ca4a21abaefa2d07d5e3ab,TZ_JuliethM2,74.86
38be7644bf7e44288ba3d5b829adfcf8,TZ_JuliethM2,75.63
03665b3b0962417ab992028e08f45f46,TZ_MboyaM2,75.96
7b4f48b6dbdb44c6a9541d8193263fe5,TZ_JuliethM2,77.98
6a056818a0fd43cfb680a25aa3844bd3,TZ_MaryO2,78.02
a7273b80b95243bbaad6c5cf2eee47c9,TZ_JenivaM2,78.29
add85ac9e1a2436082961ba3a7365fbe,TZ_UpendoG2,79.51
5ec051812aa3430ea8568e7be2fc9aaf,TZ_JuliethM2,80.8
6f3a3ad64d9942c28c2bd5af94ff2695,TZ_HappyM2,82.02
4ce31cb416d1458ab3166ee17cd88147,TZ_JuliethM2,84.41
20ab12718b9e47f3a80aaa0ab86d0310,TZ_MboyaM2,85.2
63a6d21469754c3097f39f038dca265c,TZ_LabanB2,85.43
057021a1c6d74c46a095e4425bb25cee,TZ_JuliethM2,85.51
5d1a76cde92d447099d2b19e7d8f4c3b,TZ_MaryO2,85.89
cc8519ad8d124a2b8e8dd29648248f6b,TZ_PeterN2,96.57
56ffb7ab9da848cca48bacdfeb13f7f2,TZ_HappyM2,99.23
231bfcead5634c8b98d5fd73756851eb,TZ_JenivaM2,99.89
fddf11a6c7bc44ecac0ccc3d3ac3209a,TZ_JenivaM2,99.98
21dc4d7865384b83ad69b2b1daa43f4c,TZ_JuliethM2,100.0
0575cd9bf8a543aa85815943185ec4e4,TZ_JuliethM2,100.0
0acc0aa869124fe1aaa7e7e0f80d8e24,TZ_JuliethM2,100.0
db902fc2fd284258a567f415b35b0f7a,TZ_MaryO2,100.0
3d08e6f919d747af8daf9be4f8696075,TZ_PeterN2,100.0
6f65d5066bb64d4fbcd7ed724db75af9,TZ_JenivaM2,100.0
7748f939adc44aa382a8e273a0b16f53,TZ_JenivaM2,100.0
7b0d0e65f4df46e693f493da1465950d,TZ_MaryO2,100.0
e8f76ac448344b269d8c1a8c1e4e668d,TZ_JuliethM2,100.0
7f060e06aa6940cd890b3c506670c4f4,TZ_JenivaM2,100.0
fea04c4220c042e6ba2d98332d75a188,TZ_MboyaM2,100.0
9264922bbadd4466b392281098452460,TZ_JuliethM2,100.0
95d0ca62d69b4fe8b43de8efd189ae2f,TZ_MboyaM2,100.0
96369f243706409aa989e01535044b69,TZ_JuliethM2,100.0
afcf71b1f5f940eaa69a57ff05ccf135,TZ_PeterN2,100.0
c2454c11a414418598cf0b439dd187f6,TZ_PeterN2,100.0
f1a4676f8fa94ec284a042025df26238,TZ_MboyaM2,100.0
ff6e9ed2cc49406f83b32cc9394fd445,TZ_JuliethM2,100.0
